Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P31471	1																										1	1																										G		
P31550	1							1												1							3	1							1												1							G		
P31827	1		1	1	1	1	1	1	1												1						9	1		1	1	1	1	1	1	1												1						G		
P31828	1			1		1	1	1																			5	1			1		1	1	1																			G		
P32167	1			1																							2	1			1																							G		
P32176	1	1	1	1	1	1	1	1	1	1				1		1			1				1	1			15	1	1	1	1	1	1	1	1	1	1				1		1			1				1	1			G		
P32668	1																										1	1																										G		
P32688	1																										1	1																										G		
P32717	1																										1	1																										G		
P33128	1			1											1												3	1			1											1												G		
P33913	1							1																			2	1							1																			G		
P36560	1			1																							2	1			1																							G		
P36649	1		1	1			1	1																			5	1		1	1			1	1																			G		
P36682	1			1																							2	1			1																							G		
P37016	1			1																							2	1			1																							G		
P37017	1							1																			2	1							1																			G		
P37018	1																										1	1																										G		
P37050	1																										1	1																										G		
P37650	1			1		1	1	1	1	1																	7	1			1		1	1	1	1	1																	G		
P37676	1							1																			2	1							1																			G		
P37902	1	1	1	1				1		1								1		1							8	1	1	1	1				1		1								1		1							G		
P37909	1																										1	1																										G		
P38052	1																										1	1																										G		
P39099	1		1	1		1	1	1		1						1								1	1		10	1		1	1		1	1	1		1						1								1	1		G		
P39172	1	1		1		1	1	1																			6	1	1		1		1	1	1																			G		
P39265	1	1	1	1				1						1													6	1	1	1	1				1						1													G		
P40120	1		1	1			1	1																			5	1		1	1			1	1																			G		
P40876	1			1																							2	1			1																							G		
P42913	1																										1	1																										G		
P42914	1		1	1		1																					4	1		1	1		1																					G		
P43319	1																										1	1																										G		
P45523	1		1	1		1	1	1		1								1		1							9	1		1	1		1	1	1		1								1		1							G		
P45955	1		1				1	1												1							5	1		1				1	1												1							G		
P46923	1			1			1						1														4	1			1			1						1														G		
P64459	1																										1	1																										G		
P64506	1	1	1					1												1		1					6	1	1	1					1												1		1					G		
P64512	1																										1	1																										G		
P64614	1			1				1		1																	4	1			1				1		1																	G		
P69808	1			1				1																			3	1			1				1																			G		
P75715	1																										1	1																										G		
P75748	1					1																					2	1					1																					G		
P75749	1			1																							2	1			1																							G		
P75855	1																										1	1																										G		
P75856	1			1				1																			3	1			1				1																			G		
P75858	1																										1	1																										G		
P75859	1																										1	1																										G		
P75860	1																										1	1																										G		
P75917	1																										1	1																										G		
P76002	1		1		1			1	1													1					6	1		1		1			1	1													1					G		
P76108	1	1		1				1											1	1							6	1	1		1				1											1	1							G		
P76116	1		1	1			1	1												1							6	1		1	2			1	1												1							G		
P76128	1			1				1											1								4	1			1				1											1								G		
P76142	1			1		1	1	1																			5	1			1		1	1	1																			G		
P76172	1		1					1														1					4	1		1					1														1					G		
P76177	1	1	1	1		1	1	1	1											1							9	1	1	1	1		1	1	1	1											1							G		
P76190	1			1																							2	1			1																							G		
P76223	1		1			1		1																			4	1		1			1		1																			G		
P76227	1							1														1					3	1							1														1					G		
P76296	1																										1	1																										G		
P76464	1			1		1		1																			4	1			2		1		1																			G		
P76498	1																										1	1																										G		
P76499	1							1																			2	1							1																			G		
P76500	1																										1	1																										G		
P76501	1					1																					2	1					1																					G		
P76520	1							1																			2	1							1																			G		
P76573	1			1				1																			3	1			1				1																			G		
P77196	1			1				1							1												4	1			1				1							1												G		
P77249	1			1																							2	1			1																							G		
P77256	1							1																			2	1							1																			G		
P77288	1																										1	1																										G		
P77294	1																										1	1																										G		
P77318	1	1	1	1			1	1																			6	1	1	1	1			1	1																			G		
P77375	1			1																							2	1			1																							G		
P77519	1																										1	1																										G		
P77588	1																										1	1																										G		
P77599	1			1		1																					3	1			1		1																					G		
P77754	1			1				1														1					4	1			1				1														1					G		
Q2M7X4	1							1														1					3	1							1														1					G		
Q46834	1			1				1																			3	1			1				1																			G		
Q46863	1						1	1																			3	1						1	1																			G		
Q47534	1																										1	1																										G		
Q6BEX5	1																										1	1																										G		
P0ACG4	1																										1	1																										G		
P28721	1																										1	1																										G		
P0AEE5	1	1	1	1		1	1	1									1							1			9	1	1	1	1		1	1	1									1							1			G		
P0AEG4	1	1	1	1			1	1		1								1		1		1					10	1	1	1	1			1	1		1								1		1		1					G		
P37329	1			1				1												1							4	1			1				1												1							G		
P33342	1			1				1																			3	1			1				1																			G		
P28722	1		1	1				1																			4	1		1	1				1																			G		
P37325	1					1	1	1																			4	1					1	1	1																			G		
P76394	1	1		1																							3	1	1		1																							G		
P33340	1																										1	1																										G		
P33343	1			1				1																			3	1			1				1																			G		
P33344	1																										1	1																										G		
P77619	1			1				1																			3	1			1				1																			G		
P64534	1							1														1					3	1							1														1					G		
P39180	1			1	1	1	1	1							1												7	1			1	1	1	1	1							1												H		
P09169	1	1	1		1	1	1	1		1			1								1			1			11	1	1	1		1	1	1	1		1			1								1			1			H		
P13036	1		1	1	1	1	1		1	1			1				1		1	1	1			1	1		15	1		1	1	1	1	1		1	1			1				1		1	1	1			1	1		H		
P30130	1	1				1	1			1					1												6	1	1				1	1			1					1												H		
P69434	1			1		1	1																				4	1			1		1	1																				H		
P77616	1			1																							2	1			1																							H		
P77694	1																										1	1																										H		
P77747	1								1																		2	1								1																		H		
P06971	1		1	1	1	1	1	1		1							1				1				1		11	1		1	2	1	1	1	1		1							1				1				1		H		
P45420	1														1												2	1														1												H		
P52143	1							1																			2	1							1																			H		
P0A927	1		1		1	1	1	1	1	1			1			1	1				1				1		13	1		1		1	1	1	1	1	1			1			1	1				1				1		H		
P76356	1																										1	1																										H		
P76335	1			1		1																					3	1			1		1																					H		
P36943	1			1		1																					3	1			1		1																					H		
P77199	1			1																							2	1			1																							H		
P21420	1						1						1		1						1						5	1						1						1		1						1						H		
P33924	1			1											1												3	1			1											1												H		
P02930	1	1	1		1	1	1	1	1	1	1	1	1			1	1			1	1				1		17	1	1	1		1	1	1	1	1	1	1	1	1			1	1			1	1				2		H		
P02931	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1				1		20	1	1	1	2	1	1	1	1	1	1	1	1	1			2	1	1	1	1	1				2		H		
P02932	1			1	1	1	1		1																		6	1			1	1	1	1		1																		H		
P02943	1		1		1	1	1	1	1	1	1	1	1		1	1	1				1				1		16	1		1		1	1	1	1	1	1	1	1	1		1	1	1				1				2		H		
P0A908	1	1	1	1	1	1	1	1	1			1	1			1					1				1		14	1	1	1	1	1	1	1	1	1			1	1			1					1				1		H		
P0A917	1	1			1	1	1		1				1				1	1	1	1	1	1		1	1		15	1	1			1	1	1		1				1				1	1	1	1	1	1		1	1		H		
P0A921	1			1	1	1	1		1	1							1				1						9	1			1	1	1	1		1	1							1				1						H		
P0A940	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1		1		1		1		20	1	1	1	1	1	1	1	1	1	1		1	2	1	1	2	1		1		1		1		7		H		
P0ADE4	1			1	1	1	1	1	1																		7	1			1	1	1	1	1	1																		H		
P27829	1	1				1	1	1																			5	1	1				1	1	1																			H		
P31554	1	1	1	1	1	1	1	1	1	1		1	1			1	1				1				1		16	1	1	1	1	1	1	1	1	1	1		1	1			1	1				1				1		H		
P34749	1							1																			2	1							1																			H		
P75733	1																										1	1																										H		
P75780	1					1	1		1								1				1						6	1					1	1		1								1				1						H		
P05825	1				1	1	1	1	1	1							1			1	1						10	1				1	1	1	1	1	1							1			1	1						H		
P0A910	1	1	1	1	1	1	1	1	1	1		1	1	1		1	1	1	1	1	1			1	1		21	1	1	1	1	1	1	1	1	2	1		1	1	1		1	1	1	1	1	1			1	4		H		
P0A915	1		1	1	1	1	1	1	1	1			1								1		1		1		13	1		1	1	1	1	1	1	1	1			1								1		1		1		H		
P10384	1		1		1	1	1	1	1	1		1	1		1		1				1				1		14	1		1		1	1	1	1	1	1		1	1		1		1				1				2		H		
P16869	1	1			1	1	1								1												6	1	1			1	1	1								1												H		
P17315	1			1	1	1	1	1	1	1							1				1						10	1			1	1	1	1	1	1	1							1				1						H		
P26218	1							1								1											3	1							1								1											H		
P33129	1			1											1												3	1			1											1												H		
P37001	1																										1	1																										H		
P37663	1														1												2	1														1												H		
P42915	1																										1	1																										H		
P45508	1																										1	1																										H		
P46474	1			1		1	1	1																			5	1			1		1	1	1																			H		
P75750	1						1								1												3	1						1								1												H		
P75857	1							1																			2	1							1																			H		
P76017	1															1											2	1															1											H		
P76045	1																1										2	1																1										H		
P76115	1			1		1	1		1				1				1				1				1		9	1			1		1	1		1				1				1				1				1		H		
P76347	1			1																							2	1			1																							H		
P76471	1				1	1	1		1											1							6	1				1	1	1		1											1							H		
P76655	1			1	1			1																			4	1			2	1			1																			H		
P76773	1			1																							2	1			1																							H		
P77468	1			1																							2	1			1																							H		
Q47706	1			1	1			1																			4	1			1	1			1																			H		
P31600	1			1		1	1	1		1																	6	1			1		1	1	1		1																	H		
P06129	1	1	1		1	1	1	1		1			1		1		1				1						12	1	1	1		1	1	1	1		1			1		1		1				1						H		
P06996	1	1	1		1	1	1	1		1			1				1			1	1						12	1	1	1		1	1	1	1		1			1				1			1	1						H		
P33341	1			1		1		1																			4	1			1		1		1																			H		
P33666	1			1			1	1																			4	1			1			1	1																			H		
P77286	1							1																			2	1							1																			H		
P45564	1																										1	1																										H		
P77330	1				1	1	1		1																1		6	1				1	1	1		1																2		I		
P58041	1																										1	1																										I		
P58042	1																										1	1																										I		
P0A6S0	1						1		1																		3	1						1		1																		I		
P0A930	1		1	1				1																			4	1		1	1				1																			I		
P76406	1				1	1	1																				4	1				1	1	1																				I		
P0A932	1						1		1																		3	1						1		1																		I		
P0ACW2	1																										1	1																										I		
P31063	1	1	1	1	1	1	1	1													1	1					10	1	1	1	1	1	1	1	1													1	1					I		
P33668	1															1											2	1															1											I		
P52644	1			1		1	1	1																			5	1			1		1	1	1																			I		
P64448	1					1	1	1																			4	1					1	1	1																			I		
P75884	1			1																							2	1			1																							I		
P75906	1			1		1		1							1												5	1			2		1		1							1												I		
P77562	1				1	1	1	1	1																		6	1				1	1	1	1	1																		I		
Q46835	1																										1	1																										I		
P07021	1						1																				2	1						1																				I		
P0A901	1			1	1	1	1	1	1												1						8	1			1	1	1	1	1	1												1						I		
P0A912	1		1	1	1	1	1	1	1	1									1		1	1					12	1		1	1	1	1	1	1	1	1									1		1	1					I		
P0A935	1		1		1	1	1	1	1	1											1						9	1		1		1	1	1	1	1	1											1						I		
